price;lagged_price_24h;lagged_price_25h;lagged_price_26h;lagged_price_27h;lagged_price_7d;lagged_price_24h_mean_24h;lagged_price_24h_mean_7d
11.11;35.81;32.84;29.89;30.16;62.64;62.077916666665715;66.67904761904757
17.23;61.39;35.81;32.84;29.89;63.26;61.237083333332386;66.63017857142852
19.78;63.13;61.39;35.81;32.84;64.74;60.42291666666572;66.5566666666666
21.43;57.69;63.13;61.39;35.81;65.72;59.54499999999906;66.46148809523804
20.78;53.07;57.69;63.13;61.39;67.47;58.66541666666572;66.35202380952376
16.91;35.21;53.07;57.69;63.13;67.27;57.217499999999056;66.14047619047612
13.2;36.14;35.21;53.07;57.69;66.18;55.947083333332394;65.94178571428564
12.22;32.99;36.14;35.21;53.07;65.12;54.56374999999906;65.72386904761898
13.0;32.35;32.99;36.14;35.21;66.91;52.998749999999056;65.49922619047612
67.07;31.29;32.35;32.99;36.14;68.01;51.17541666666572;65.26809523809517
73.22;33.95;31.29;32.35;32.99;68.92;49.296249999999056;65.04874999999994
85.82;37.92;33.95;31.29;32.35;86.2;47.25124999999906;64.81946428571422
106.98;36.14;37.92;33.95;31.29;84.91;45.13583333333239;64.58255952380945
88.11;29.99;36.14;37.92;33.95;69.06;43.234999999999054;64.33880952380945
78.99;26.36;29.99;36.14;37.92;65.28;41.43499999999906;64.0954166666666
72.78;25.51;26.36;29.99;36.14;64.18;39.93708333333239;63.85351190476184
70.7;24.43;25.51;26.36;29.99;63.38;38.38916666666572;63.612261904761844
65.62;19.56;24.43;25.51;26.36;61.93;36.808333333332385;63.35202380952374
60.88;19.32;19.56;24.43;25.51;55.48;35.50833333333239;63.10309523809517
53.49;18.88;19.32;19.56;24.43;53.67;34.85499999999906;62.84624999999993
50.2;18.43;18.88;19.32;19.56;52.6;34.26874999999905;62.58488095238088
49.11;13.22;18.43;18.88;19.32;46.83;33.56291666666572;62.292559523809444
48.99;11.16;13.22;18.43;18.88;43.64;32.782499999999054;61.98785714285706
47.31;9.99;11.16;13.22;18.43;46.25;31.830416666665723;61.67023809523801
44.92;11.11;9.99;11.16;13.22;49.19;30.801249999999058;61.36351190476183
47.8;17.23;11.11;9.99;11.16;53.16;28.96124999999906;61.089523809523726
46.15;19.78;17.23;11.11;9.99;55.06;27.15499999999906;60.82190476190468
43.03;21.43;19.78;17.23;11.11;57.97;25.644166666665726;60.55827380952374
40.45;20.78;21.43;19.78;17.23;61.16;24.298749999999057;60.28035714285708
41.0;16.91;20.78;21.43;19.78;63.97;23.536249999999054;59.98059523809517
40.1;13.2;16.91;20.78;21.43;63.05;22.580416666665723;59.66523809523803
39.88;12.22;13.2;16.91;20.78;61.73;21.714999999999055;59.35035714285707
42.87;13.0;12.22;13.2;16.91;63.33;20.908749999999056;59.02946428571421
46.66;67.07;13.0;12.22;13.2;64.71;22.399583333332387;59.02386904761897
46.12;73.22;67.07;13.0;12.22;68.04;24.035833333332388;59.04946428571421
46.77;85.82;73.22;67.07;13.0;76.07;26.031666666665718;59.0472023809523
47.97;106.98;85.82;73.22;67.07;78.24;28.983333333332386;59.178571428571345
43.14;88.11;106.98;85.82;73.22;70.98;31.404999999999053;59.29196428571421
40.36;78.99;88.11;106.98;85.82;63.29;33.59791666666572;59.373571428571346
43.14;72.78;78.99;88.11;106.98;60.37;35.56749999999905;59.42476190476182
44.73;70.7;72.78;78.99;88.11;56.51;37.495416666665726;59.46833333333326
43.69;65.62;70.7;72.78;78.99;57.38;39.414583333332395;59.490297619047546
42.94;60.88;65.62;70.7;72.78;62.35;41.14624999999906;59.522440476190404
42.46;53.49;60.88;65.62;70.7;59.94;42.58833333333239;59.521369047618975
44.21;50.2;53.49;60.88;65.62;58.79;43.91208333333239;59.50708333333326
43.91;49.11;50.2;53.49;60.88;57.77;45.407499999999054;59.520654761904694
44.92;48.99;49.11;50.2;53.49;59.21;46.98374999999905;59.55249999999993
51.57;47.31;48.99;49.11;50.2;60.04;48.53874999999905;59.55880952380945
66.96;44.92;47.31;48.99;49.11;66.89;49.94749999999905;59.533392857142786
79.09;47.8;44.92;47.31;48.99;82.93;51.22124999999905;59.50148809523802
83.84;46.15;47.8;44.92;47.31;100.98;52.319999999999055;59.448452380952304
75.03;43.03;46.15;47.8;44.92;94.18;53.219999999999054;59.35952380952374
70.83;40.45;43.03;46.15;47.8;83.42;54.03958333333239;59.23624999999994
69.13;41.0;40.45;43.03;46.15;77.24;55.043333333332384;59.09952380952375
62.47;40.1;41.0;40.45;43.03;65.76;56.164166666665714;58.962916666666615
60.01;39.88;40.1;41.0;40.45;63.75;57.31666666666572;58.83285714285709
64.38;42.87;39.88;40.1;41.0;63.38;58.56124999999904;58.71107142857138
67.62;46.66;42.87;39.88;40.1;66.4;57.71083333333238;58.60363095238091
69.79;46.12;46.66;42.87;39.88;78.42;56.58166666666571;58.473154761904716
76.25;46.77;46.12;46.66;42.87;93.28;54.95458333333238;58.29874999999996
95.3;47.97;46.77;46.12;46.66;96.0;52.49583333333238;58.118571428571386
79.98;43.14;47.97;46.77;46.12;89.08;50.62208333333239;57.9528571428571
68.92;40.36;43.14;47.97;46.77;79.15;49.01249999999905;57.816369047619006
56.15;43.14;40.36;43.14;47.97;71.54;47.77749999999906;57.71380952380947
53.47;44.73;43.14;40.36;43.14;64.29;46.69541666666572;57.64369047619042
53.77;43.69;44.73;43.14;40.36;59.94;45.78166666666573;57.56220238095233
56.67;42.94;43.69;44.73;43.14;66.31;45.034166666665726;57.446666666666616
53.01;42.46;42.94;43.69;44.73;63.8;44.57458333333239;57.34261904761899
52.67;44.21;42.46;42.94;43.69;61.1;44.32499999999906;57.255833333333264
52.19;43.91;44.21;42.46;42.94;58.96;44.10833333333239;57.17333333333326
51.72;44.92;43.91;44.21;42.46;58.62;43.93874999999906;57.08827380952374
52.35;51.57;44.92;43.91;44.21;49.07;44.11624999999906;57.03785714285707
66.59;66.96;51.57;44.92;43.91;66.15;45.03458333333239;57.03827380952374
86.22;79.09;66.96;51.57;44.92;75.68;46.33833333333239;57.01541666666659
88.71;83.84;79.09;66.96;51.57;88.75;47.90874999999905;56.91339285714279
77.78;75.03;83.84;79.09;66.96;74.96;49.24208333333238;56.79940476190469
69.25;70.83;75.03;83.84;79.09;69.21;50.507916666665714;56.72446428571421
59.42;69.13;70.83;75.03;83.84;63.87;51.67999999999904;56.6761904761904
53.52;62.47;69.13;70.83;75.03;60.53;52.61208333333238;56.65660714285706
51.42;60.01;62.47;69.13;70.83;60.26;53.450833333332376;56.63434523809516
51.79;64.38;60.01;62.47;69.13;63.1;54.347083333332385;56.640297619047544
54.81;67.62;64.38;60.01;62.47;69.0;55.22041666666572;56.647559523809456
57.6;69.79;67.62;64.38;60.01;76.47;56.20666666666572;56.59619047619041
68.77;76.25;69.79;67.62;64.38;94.93;57.43499999999906;56.494821428571356
67.49;95.3;76.25;69.79;67.62;99.52;59.40708333333239;56.490654761904686
55.65;79.98;95.3;76.25;69.79;88.81;60.942083333332384;56.43648809523802
52.57;68.92;79.98;95.3;76.25;76.1;62.13208333333239;56.375595238095165
43.68;56.15;68.92;79.98;95.3;70.14;62.67416666666572;56.283988095238016
39.01;53.47;56.15;68.92;79.98;66.75;63.03833333333239;56.21958333333324
36.01;53.77;53.47;56.15;68.92;63.18;63.458333333332384;56.18285714285705
37.37;56.67;53.77;53.47;56.15;59.17;64.03041666666572;56.12547619047611
36.79;53.01;56.67;53.77;53.47;57.92;64.46999999999905;56.061249999999916
36.82;52.67;53.01;56.67;53.77;54.42;64.82249999999905;56.01107142857135
36.82;52.19;52.67;53.01;56.67;53.48;65.16749999999905;55.970773809523735
37.95;51.72;52.19;52.67;53.01;53.74;65.45083333333238;55.9297023809523
39.02;52.35;51.72;52.19;52.67;57.03;65.48333333333238;55.94922619047611
42.74;66.59;52.35;51.72;52.19;63.23;65.46791666666572;55.95184523809516
53.39;86.22;66.59;52.35;51.72;72.74;65.76499999999905;56.01458333333325
55.3;88.71;86.22;66.59;52.35;79.73;65.96791666666572;56.01434523809515
56.18;77.78;88.71;86.22;66.59;69.65;66.08249999999906;56.03113095238088
55.56;69.25;77.78;88.71;86.22;63.86;66.01666666666573;56.03136904761897
55.35;59.42;69.25;77.78;88.71;63.29;65.6120833333324;56.00488095238087
51.74;53.52;59.42;69.25;77.78;62.63;65.23916666666572;55.96315476190468
49.99;51.42;53.52;59.42;69.25;62.9;64.88124999999906;55.910535714285636
51.62;51.79;51.42;53.52;59.42;68.34;64.35666666666572;55.84321428571421
50.64;54.81;51.79;51.42;53.52;72.23;63.82291666666572;55.75874999999992
59.99;57.6;54.81;51.79;51.42;78.54;63.31499999999905;55.6464285714285
67.96;68.77;57.6;54.81;51.79;82.97;63.003333333332385;55.49071428571421
66.93;67.49;68.77;57.6;54.81;87.58;61.84458333333239;55.300059523809445
59.92;55.65;67.49;68.77;57.6;84.47;60.830833333332386;55.1026785714285
50.86;52.57;55.65;67.49;68.77;76.48;60.14958333333238;54.962619047618965
44.88;43.68;52.57;55.65;67.49;69.68;59.62999999999905;54.80511904761897
40.71;39.01;43.68;52.57;55.65;68.2;59.027499999999044;54.63999999999993
34.38;36.01;39.01;43.68;52.57;62.27;58.28749999999905;54.478273809523735
30.98;37.37;36.01;39.01;43.68;60.23;57.483333333332375;54.348511904761835
27.42;36.79;37.37;36.01;39.01;59.66;56.80749999999904;54.22273809523803
27.07;36.82;36.79;37.37;36.01;58.85;56.14708333333237;54.11797619047612
27.95;36.82;36.82;36.79;37.37;58.32;55.506666666665694;54.01880952380946
30.93;37.95;36.82;36.82;36.79;60.45;54.9329166666657;53.92482142857137
29.33;39.02;37.95;36.82;36.82;64.48;54.37749999999903;53.81761904761898
59.93;42.74;39.02;37.95;36.82;72.21;53.38374999999903;53.6956547619047
74.7;53.39;42.74;39.02;37.95;81.57;52.015833333332374;53.580476190476126
79.94;55.3;53.39;42.74;39.02;82.67;50.623749999999035;53.43505952380946
64.99;56.18;55.3;53.39;42.74;78.76;49.723749999999036;53.354880952380896
59.97;55.56;56.18;55.3;53.39;74.18;49.15333333333237;53.30547619047612
64.99;55.35;55.56;56.18;55.3;69.96;48.98374999999903;53.25821428571422
59.57;51.74;55.35;55.56;56.18;66.63;48.909583333332364;53.19339285714279
57.47;49.99;51.74;55.35;55.56;66.19;48.84999999999903;53.11654761904755
56.4;51.62;49.99;51.74;55.35;69.91;48.842916666665694;53.01702380952375
63.2;50.64;51.62;49.99;51.74;75.05;48.669166666665696;52.88851190476184
61.73;59.99;50.64;51.62;49.99;79.05;48.76874999999904;52.77809523809517
60.27;67.96;59.99;50.64;51.62;87.0;48.73499999999904;52.68874999999993
58.47;66.93;67.96;59.99;50.64;86.91;48.71166666666571;52.565833333333266
51.16;59.92;66.93;67.96;59.99;75.61;48.889583333332375;52.419702380952316
41.43;50.86;59.92;66.93;67.96;69.56;48.81833333333237;52.26720238095233
24.44;44.88;50.86;59.92;66.93;61.46;48.86833333333237;52.11958333333327
12.06;40.71;44.88;50.86;59.92;61.58;48.939166666665706;51.955952380952304
1.95;34.38;40.71;44.88;50.86;57.5;48.871249999999044;51.789940476190395
1.6;30.98;34.38;40.71;44.88;50.52;48.60499999999905;51.61583333333325
1.04;27.42;30.98;34.38;40.71;34.56;48.21458333333239;51.42392857142849
0.35;27.07;27.42;30.98;34.38;32.5;47.80833333333239;51.23476190476182
0.0;27.95;27.07;27.42;30.98;30.16;47.43874999999906;51.05398809523802
0.0;30.93;27.95;27.07;27.42;29.89;47.146249999999064;50.878273809523726
0.0;29.33;30.93;27.95;27.07;32.84;46.74249999999906;50.66904761904754
2.61;59.93;29.33;30.93;27.95;35.81;47.458749999999064;50.59595238095231
14.36;74.7;59.93;29.33;30.93;61.39;48.346666666665726;50.55505952380946
14.68;79.94;74.7;59.93;29.33;63.13;49.3733333333324;50.53880952380946
12.44;64.99;79.94;74.7;59.93;57.69;49.74041666666573;50.45684523809517
5.0;59.97;64.99;79.94;74.7;53.07;49.924166666665734;50.372261904761835
4.92;64.99;59.97;64.99;79.94;35.21;50.325833333332405;50.34267857142851
6.64;59.57;64.99;59.97;64.99;36.14;50.6520833333324;50.300654761904696
3.48;57.47;59.57;64.99;59.97;32.99;50.96374999999907;50.24874999999993
0.19;56.4;57.47;59.57;64.99;32.35;51.162916666665744;50.16833333333326
0.01;63.2;56.4;57.47;59.57;31.29;51.68624999999907;50.097797619047554
2.4;61.73;63.2;56.4;57.47;33.95;51.758749999999075;49.99470238095232
6.0;60.27;61.73;63.2;56.4;37.92;51.4383333333324;49.83559523809518
5.37;58.47;60.27;61.73;63.2;36.14;51.0858333333324;49.66630952380946
1.98;51.16;58.47;60.27;61.73;29.99;50.7208333333324;49.520773809523746
0.0;41.43;51.16;58.47;60.27;26.36;50.32791666666574;49.353333333333275
-0.09;24.44;41.43;51.16;58.47;25.51;49.47624999999908;49.132976190476136
-0.15;12.06;24.44;41.43;51.16;24.43;48.28249999999907;48.83821428571423
-0.98;1.95;12.06;24.44;41.43;19.56;46.93124999999907;48.50755952380947
0.0;1.6;1.95;12.06;24.44;19.32;45.7070833333324;48.21636904761899
0.0;1.04;1.6;1.95;12.06;18.88;44.60791666666572;48.01684523809518
0.01;0.35;1.04;1.6;1.95;18.43;43.49458333333239;47.82547619047613
3.42;0.0;0.35;1.04;1.6;13.22;42.32999999999905;47.64595238095232
6.45;0.0;0.0;0.35;1.04;11.16;41.04124999999906;47.468035714285655
14.18;0.0;0.0;0.0;0.35;9.99;39.81916666666572;47.27255952380946
15.32;2.61;0.0;0.0;0.0;11.11;37.430833333332394;47.07494047619041
21.37;14.36;2.61;0.0;0.0;17.23;34.916666666665726;46.79499999999993
35.97;14.68;14.36;2.61;0.0;19.78;32.19749999999906;46.50660714285708
45.47;12.44;14.68;14.36;2.61;21.43;30.007916666665725;46.23726190476184
47.98;5.0;12.44;14.68;14.36;20.78;27.71749999999906;45.951130952380886
42.91;4.92;5.0;12.44;14.68;16.91;25.21458333333239;45.77083333333327
30.09;6.64;4.92;5.0;12.44;13.2;23.00916666666572;45.59523809523803
30.45;3.48;6.64;4.92;5.0;12.22;20.759583333332387;45.419583333333264
31.04;0.19;3.48;6.64;4.92;13.0;18.417499999999055;45.22815476190469
33.9;0.01;0.19;3.48;6.64;67.07;15.784583333332387;45.041964285714215
51.7;2.4;0.01;0.19;3.48;73.22;13.312499999999053;44.85416666666659
56.58;6.0;2.4;0.01;0.19;85.82;11.051249999999053;44.664166666666596
72.83;5.37;6.0;2.4;0.01;106.98;8.838749999999054;44.48101190476183
49.55;1.98;5.37;6.0;2.4;88.11;6.789583333332387;44.31428571428564
38.6;0.0;1.98;5.37;6.0;78.99;5.063333333332387;44.157380952380876
41.87;-0.09;0.0;1.98;5.37;72.78;4.041249999999053;44.004999999999924
40.54;-0.15;-0.09;0.0;1.98;70.7;3.5324999999990525;43.858690476190404
36.58;-0.98;-0.15;-0.09;0.0;65.62;3.410416666665719;43.7364285714285
33.35;0.0;-0.98;-0.15;-0.09;60.88;3.3437499999990528;43.621428571428496
33.51;0.0;0.0;-0.98;-0.15;53.49;3.300416666665719;43.50904761904754
31.74;0.01;0.0;0.0;-0.98;50.2;3.2862499999990527;43.39940476190469
31.27;3.42;0.01;0.0;0.0;49.11;3.4287499999990527;43.341071428571354
30.88;6.45;3.42;0.01;0.0;48.99;3.697499999999053;43.31303571428564
30.51;14.18;6.45;3.42;0.01;47.31;4.288333333332386;43.33797619047612
30.72;15.32;14.18;6.45;3.42;44.92;4.81791666666572;43.363035714285644
30.87;21.37;15.32;14.18;6.45;47.8;5.1099999999990535;43.3876785714285
33.76;35.97;21.37;15.32;14.18;46.15;5.997083333332387;43.48404761904755
35.08;45.47;35.97;21.37;15.32;43.03;7.373333333332387;43.62714285714279
35.2;47.98;45.47;35.97;21.37;40.45;9.16416666666572;43.78904761904755
34.17;42.91;47.98;45.47;35.97;41.0;10.74708333333239;43.943809523809456
30.41;30.09;42.91;47.98;45.47;40.1;11.724166666665722;44.044345238095175
30.11;30.45;30.09;42.91;47.98;39.88;12.84791666666572;44.15285714285707
30.02;31.04;30.45;30.09;42.91;42.87;14.133333333332388;44.26023809523802
30.67;33.9;31.04;30.45;30.09;46.66;15.545416666665721;44.06279761904755
46.51;51.7;33.9;31.04;30.45;46.12;17.599583333332387;43.93470238095231
80.21;56.58;51.7;33.9;31.04;46.77;19.70708333333239;43.76065476190469
91.45;72.83;56.58;51.7;33.9;47.97;22.517916666665723;43.55738095238088
77.28;49.55;72.83;56.58;51.7;43.14;24.49999999999905;43.32785714285708
63.65;38.6;49.55;72.83;56.58;40.36;26.108333333332386;43.087440476190416
43.62;41.87;38.6;49.55;72.83;43.14;27.85666666666572;42.90345238095232
39.17;40.54;41.87;38.6;49.55;44.73;29.552083333332387;42.72392857142851
30.01;36.58;40.54;41.87;38.6;43.69;31.11708333333239;42.55107142857137
56.45;33.35;36.58;40.54;41.87;42.94;32.50666666666572;42.387202380952324
55.45;33.51;33.35;36.58;40.54;42.46;33.902916666665725;42.268273809523755
54.36;31.74;33.51;33.35;36.58;44.21;35.224999999999056;42.1583928571428
50.56;31.27;31.74;33.51;33.35;43.91;36.385416666665726;42.05220238095233
52.02;30.88;31.27;31.74;33.51;44.92;37.40333333333239;41.944404761904714
56.53;30.51;30.88;31.27;31.74;51.57;38.08374999999906;41.84440476190471
69.68;30.72;30.51;30.88;31.27;66.96;38.72541666666572;41.759880952380904
79.61;30.87;30.72;30.51;30.88;79.09;39.12124999999906;41.65910714285709
81.6;33.76;30.87;30.72;30.51;83.84;39.02916666666572;41.58535714285709
73.83;35.08;33.76;30.87;30.72;75.03;38.59624999999905;41.53803571428567
66.65;35.2;35.08;33.76;30.87;70.83;38.063749999999054;41.50678571428567
65.03;34.17;35.2;35.08;33.76;69.13;37.69958333333239;41.46613095238091
58.42;30.41;34.17;35.2;35.08;62.47;37.71291666666572;41.40845238095233
58.19;30.11;30.41;34.17;35.2;60.01;37.69874999999905;41.350297619047566
61.29;30.02;30.11;30.41;34.17;64.38;37.656249999999055;41.273809523809476
64.95;30.67;30.02;30.11;30.41;67.62;37.521666666665716;41.17863095238091
69.96;46.51;30.67;30.02;30.11;69.79;37.305416666665714;41.180952380952334
77.0;80.21;46.51;30.67;30.02;76.25;38.28999999999905;41.37999999999995
85.32;91.45;80.21;46.51;30.67;95.3;39.065833333332385;41.63880952380947
81.01;77.28;91.45;80.21;46.51;79.98;40.22124999999905;41.84202380952375
72.21;63.65;77.28;91.45;80.21;68.92;41.26499999999905;41.98065476190471
65.69;43.62;63.65;77.28;91.45;56.15;41.33791666666571;41.98351190476185
65.21;39.17;43.62;63.65;77.28;53.47;41.28083333333238;41.95041666666661
59.3;30.01;39.17;43.62;63.65;53.77;41.00708333333238;41.868988095238045
56.24;56.45;30.01;39.17;43.62;56.67;41.96958333333238;41.94940476190472
56.17;55.45;56.45;30.01;39.17;53.01;42.88374999999905;42.02672619047614
55.97;54.36;55.45;56.45;30.01;52.67;43.82624999999904;42.08714285714281
55.51;50.56;54.36;55.45;56.45;52.19;44.629999999999036;42.12672619047614
55.97;52.02;50.56;54.36;55.45;51.72;45.510833333332364;42.16898809523805
61.58;56.53;52.02;50.56;54.36;52.35;46.59499999999903;42.19851190476186
74.31;69.68;56.53;52.02;50.56;66.59;48.21833333333237;42.21470238095234
95.63;79.61;69.68;56.53;52.02;86.22;50.2491666666657;42.21779761904757
95.78;81.6;79.61;69.68;56.53;88.71;52.24249999999903;42.20446428571424
80.81;73.83;81.6;79.61;69.68;77.78;53.85708333333236;42.197321428571385
68.71;66.65;73.83;81.6;79.61;69.25;55.16749999999903;42.17244047619043
64.83;65.03;66.65;73.83;81.6;59.42;56.45333333333236;42.14803571428566
59.17;58.42;65.03;66.65;73.83;53.52;57.6204166666657;42.12392857142852
59.16;58.19;58.42;65.03;66.65;51.42;58.7904166666657;42.113095238095184
64.49;61.29;58.19;58.42;65.03;51.79;60.09333333333237;42.09470238095233
71.34;64.95;61.29;58.19;58.42;54.81;61.5216666666657;42.07880952380947
79.82;69.96;64.95;61.29;58.19;57.6;62.498749999999035;42.07982142857137
98.02;77.0;69.96;64.95;61.29;68.77;62.364999999999036;42.084285714285656
111.8;85.32;77.0;69.96;64.95;67.49;62.10958333333236;42.0248809523809
105.17;81.01;85.32;77.0;69.96;55.65;62.26499999999903;42.031011904761854
84.36;72.21;81.01;85.32;77.0;52.57;62.621666666665696;42.050595238095184
72.37;65.69;72.21;81.01;85.32;43.68;63.54124999999903;42.1073809523809
68.58;65.21;65.69;72.21;81.01;39.01;64.62624999999903;42.17726190476185
63.41;59.3;65.21;65.69;72.21;36.01;65.8466666666657;42.210178571428514
58.91;56.24;59.3;65.21;65.69;37.37;65.83791666666569;42.20761904761899
57.97;56.17;56.24;59.3;65.21;36.79;65.86791666666569;42.226428571428514
59.87;55.97;56.17;56.24;59.3;36.82;65.93499999999904;42.24607142857137
61.94;55.51;55.97;56.17;56.24;36.82;66.14124999999903;42.265833333333276
62.21;55.97;55.51;55.97;56.17;37.95;66.30583333333237;42.2911309523809
65.82;61.58;55.97;55.51;55.97;39.02;66.51624999999903;42.34607142857137
74.3;74.31;61.58;55.97;55.51;42.74;66.7091666666657;42.39202380952376
97.97;95.63;74.31;61.58;55.97;53.39;67.3766666666657;42.44803571428566
104.49;95.78;95.63;74.31;61.58;55.3;67.96749999999903;42.49011904761899
85.46;80.81;95.78;95.63;74.31;56.18;68.25833333333237;42.508154761904706
73.99;68.71;80.81;95.78;95.63;55.56;68.3441666666657;42.50494047619042
67.55;64.83;68.71;80.81;95.78;55.35;68.33583333333236;42.537142857142804
62.39;59.17;64.83;68.71;80.81;51.74;68.36708333333236;42.57077380952375
59.26;59.16;59.17;64.83;68.71;49.99;68.40749999999903;42.61684523809518
60.03;64.49;59.16;59.17;64.83;51.62;68.54083333333237;42.69244047619041
68.74;71.34;64.49;59.16;59.17;50.64;68.80708333333236;42.790833333333275
73.16;79.82;71.34;64.49;59.16;59.99;69.21791666666569;42.92309523809517
93.04;98.02;79.82;71.34;64.49;67.96;70.09374999999902;43.09720238095232
91.0;111.8;98.02;79.82;71.34;66.93;71.19708333333236;43.36095238095232
76.41;105.17;111.8;98.02;79.82;59.92;72.20374999999903;43.655714285714225
63.87;84.36;105.17;111.8;98.02;50.86;72.70999999999903;43.844940476190416
26.76;72.37;84.36;105.17;111.8;44.88;72.98833333333236;44.015714285714225
18.8;68.58;72.37;84.36;105.17;40.71;73.12874999999902;44.191726190476125
16.57;63.41;68.58;72.37;84.36;34.38;73.29999999999903;44.35482142857136
20.65;58.91;63.41;68.58;72.37;30.98;73.41124999999903;44.48303571428565
19.53;57.97;58.91;63.41;68.58;27.42;73.48624999999903;44.60910714285708
18.11;59.87;57.97;58.91;63.41;27.07;73.64874999999903;44.74630952380946
17.29;61.94;59.87;57.97;58.91;27.95;73.91666666666569;44.89583333333327
17.2;62.21;61.94;59.87;57.97;30.93;74.1766666666657;45.04023809523803
18.27;65.82;62.21;61.94;59.87;29.33;74.35333333333236;45.199761904761836
18.89;74.3;65.82;62.21;61.94;59.93;74.35291666666569;45.38761904761898
20.6;97.97;74.3;65.82;62.21;74.7;74.45041666666569;45.652976190476124
20.68;104.49;97.97;74.3;65.82;79.94;74.81333333333235;45.94577380952374
20.04;85.46;104.49;97.97;74.3;64.99;75.00708333333236;46.12005952380945
18.84;73.99;85.46;104.49;97.97;59.97;75.22708333333236;46.22976190476183
16.84;67.55;73.99;85.46;104.49;64.99;75.34041666666569;46.30238095238088
15.07;62.39;67.55;73.99;85.46;59.57;75.47458333333236;46.36577380952374
13.32;59.26;62.39;67.55;73.99;57.47;75.47874999999902;46.420952380952315
11.25;60.03;59.26;62.39;67.55;56.4;75.29291666666569;46.47101190476184
9.23;68.74;60.03;59.26;62.39;63.2;75.18458333333236;46.57874999999993
11.16;73.16;68.74;60.03;59.26;61.73;74.90708333333237;46.65714285714279
12.35;93.04;73.16;68.74;60.03;60.27;74.69958333333237;46.8064285714285
9.74;91.0;93.04;73.16;68.74;58.47;73.8329166666657;46.9497023809523
6.5;76.41;91.0;93.04;73.16;51.16;72.63458333333237;47.04785714285707
2.86;63.87;76.41;91.0;93.04;41.43;71.78083333333237;47.125297619047544
0.32;26.76;63.87;76.41;91.0;24.44;69.8804166666657;47.0174404761904
0.0;18.8;26.76;63.87;76.41;12.06;67.80624999999903;46.88702380952374
-0.02;16.57;18.8;26.76;63.87;1.95;65.85458333333236;46.781011904761826
6.2;20.65;16.57;18.8;26.76;1.6;64.26041666666569;46.719523809523736
8.64;19.53;20.65;16.57;18.8;1.04;62.658749999999024;46.67255952380945
11.0;18.11;19.53;20.65;16.57;0.35;60.91874999999902;46.61922619047611
13.0;17.29;18.11;19.53;20.65;0.0;59.05833333333235;46.555773809523735
14.33;17.2;17.29;18.11;19.53;0.0;57.18291666666568;46.47404761904754
20.46;18.27;17.2;17.29;18.11;0.0;55.20166666666569;46.40821428571421
23.0;18.89;18.27;17.2;17.29;2.61;52.89291666666569;46.16392857142849
25.97;20.6;18.89;18.27;17.2;14.36;49.66916666666569;45.841904761904686
36.39;20.68;20.6;18.89;18.27;14.68;46.177083333332355;45.4891666666666
37.25;20.04;20.68;20.6;18.89;12.44;43.45124999999902;45.221607142857074
58.2;18.84;20.04;20.68;20.6;5.0;41.153333333332355;44.97678571428565
54.61;16.84;18.84;20.04;20.68;4.92;39.04041666666569;44.690178571428504
34.71;15.07;16.84;18.84;20.04;6.64;37.06874999999903;44.425297619047555
30.97;13.32;15.07;16.84;18.84;3.48;35.15458333333236;44.16249999999993
29.95;11.25;13.32;15.07;16.84;0.19;33.12208333333236;43.89374999999993
40.01;9.23;11.25;13.32;15.07;0.01;30.642499999999032;43.572499999999934
77.05;11.16;9.23;11.25;13.32;2.4;28.0591666666657;43.27148809523803
87.26;12.35;11.16;9.23;11.25;6.0;24.69708333333237;42.986249999999934
91.49;9.74;12.35;11.16;9.23;5.37;21.311249999999035;42.69619047619041
85.1;6.5;9.74;12.35;11.16;1.98;18.39833333333237;42.430357142857076
30.04;2.86;6.5;9.74;12.35;0.0;15.856249999999037;42.20077380952374
26.39;0.32;2.86;6.5;9.74;-0.09;14.75458333333237;42.05720238095231
26.78;0.0;0.32;2.86;6.5;-0.15;13.971249999999037;41.985416666666595
25.95;-0.02;0.0;0.32;2.86;-0.98;13.279999999999037;41.9736904761904
